Selected indicators: Electricity generation (GWh).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected technologies: Total renewable energy; Hydropower; Marine; Wind; Solar; Bioenergy; Geothermal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected countries and areas: World; Africa; Algeria; Angola; Benin; Botswana; Burkina Faso; Burundi; Cabo Verde; Cameroon; Cent Afr Rep; Chad; Comoros; Congo DR; Congo Rep; Cote d Ivoire; Djibouti; Egypt; Eq Guinea; Eritrea; Eswatini; Ethiopia; Gabon; Gambia; Ghana; Guinea; Guinea Bissau; Kenya; Lesotho; Liberia; Libya; Madagascar; Malawi; Mali; Mauritania; Mauritius; Mayotte; Morocco; Mozambique; Namibia; Niger; Nigeria; Reunion; Rwanda; Saint Helena; Sao Tome Prn; Senegal; Seychelles; Sierra Leone; Somalia; South Africa; South Sudan; Sudan; Tanzania; Togo; Tunisia; Uganda; Westn Sahara; Zambia; Zimbabwe; Asia; Afghanistan; Bangladesh; Bhutan; Brunei Darsm; Cambodia; China; China HK SAR; China Mac SAR; Chinese Taipei; India; Indonesia; Japan; Kazakhstan; Korea DPR; Korea Rep; Kyrgyzstan; Lao PDR; Malaysia; Maldives; Mongolia; Myanmar; Nepal; Pakistan; Philippines; Singapore; Sri Lanka; Tajikistan; Thailand; Timor Leste; Turkmenistan; Uzbekistan; Viet Nam; C America + Carib; Anguilla; Antigua Barb; Aruba; Bahamas; Barbados; Belize; BES Islands; Br Virgin Is; Cayman Is; Costa Rica; Cuba; Curacao; Dominica; Dominican Rep; El Salvador; Grenada; Guadeloupe; Guatemala; Haiti; Honduras; Jamaica; Martinique; Montserrat; Nicaragua; Panama; Puerto Rico; St Barth; St Kitts Nevis; St Lucia; St Maarten; St Martin; St Vincent Gren; Trinidad Tobago; Turks Caicos; US Virgin Is; Eurasia; Armenia; Azerbaijan; Georgia; Russian Fed; Turkey; Europe; Albania; Andorra; Austria; Belarus; Belgium; Bosnia Herzg; Bulgaria; Croatia; Cyprus; Czechia; Denmark; Estonia; Faroe Islands; Finland; France; Germany; Gibraltar; Greece; Holy See; Hungary; Iceland; Ireland; Italy; Kosovo*; Latvia; Liechtenstein; Lithuania; Luxembourg; Malta; Moldova Rep; Monaco; Montenegro; Netherlands; North Macedonia; Norway; Poland; Portugal; Romania; San Marino; Serbia; Slovakia; Slovenia; Spain; Sweden; Switzerland; UK; Ukraine; European Union; Middle East; Bahrain; Iran IR; Iraq; Israel; Jordan; Kuwait; Lebanon; Oman; Palestine; Qatar; Saudi Arabia; Syrian AR; United Arab Em; Yemen; N America; Bermuda; Canada; Greenland; Mexico; St Pierre Mq; USA; Oceania; Amer Samoa; Australia; Christmas Is; Cocos Is; Cook Is; Fiji; Fr Polynesia; Guam; Kiribati; Marshall Is; Micronesia; Nauru; New Caledon; New Zealand; Niue; Norfolk Is; Nth Mariana Is; Palau; Papua N Guin; Pitcairn; Samoa; Solomon Is; Tokelau; Tonga; Tuvalu; Vanuatu; Wallis Fut Is; S America; Argentina; Bolivia; Brazil; Chile; Colombia; Ecuador; Falklands Malv; Fr Guiana; Guyana; Paraguay; Peru; Suriname; Uruguay; Venezuela.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected years: 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show data flags: no.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IRENA (2019), Renewable Energy Statistics 2019, The International Renewable Energy Agency, Abu Dhabi.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Country/area,Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Br Virgin Is,Total renewable energy,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,  1,  1,  2,  2,  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,  1,  1,  1,  1,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cayman Is,Total renewable energy,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  5,  14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  5,  14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Costa Rica,Total renewable energy, 6 824, 6 798, 7 320, 7 358, 7 907, 7 882, 8 038, 8 273, 8 742, 8 792, 8 871, 8 906, 9 259, 8 965, 9 106, 10 645, 10 630, 11 214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower, 5 684, 5 650, 5 964, 6 016, 6 497, 6 560, 6 595, 6 771, 7 384, 7 225, 7 262, 7 135, 7 233, 6 851, 6 717, 8 067, 8 026, 8 677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  183,  186,  259,  230,  255,  204,  274,  241,  198,  326,  359,  415,  528,  485,  735, 1 080, 1 147, 1 288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  1,  2,  2,  3,  4,  4,  5,  6,  7,  9,  10,  13,  18,  23,  31,  33,  34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,  19,  10,  12,  12,  17,  25,  19,  17,  24,  48,  66,  68,  82,  95,  93,  92,  84,  97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,  938,  952, 1 083, 1 099, 1 135, 1 090, 1 147, 1 239, 1 131, 1 186, 1 176, 1 280, 1 403, 1 517, 1 538, 1 376, 1 340, 1 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cuba,Total renewable energy, 1 033, 1 005, 1 045,  848,  877,  487,  500,  534,  700,  689,  554,  585,  699,  959,  854,  898,  915, 1 117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,  89,  75,  106,  128,  88,  68,  94,  121,  138,  151,  97,  99,  111,  127,  104,  48,  64,  83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  0,  0,  0,  0,  0,  0,  0,  0,  8,  4,  12,  18,  22,  23,  19,  21,  21,  23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  14,  15,  113,  94,  126,  143,  74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,  944,  930,  939,  720,  789,  420,  406,  413,  554,  535,  446,  454,  551,  697,  637,  703,  686,  937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,Total renewable energy,  8,  71,  71,  71,  71,  71,  71,  71,  63,  63,  63,  63,  200,  205,  213,  217,  229,  269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  8,  71,  71,  71,  71,  71,  71,  71,  63,  63,  63,  63,  200,  200,  200,  200,  200,  238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  5,  13,  17,  29,  31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dominica,Total renewable energy,  32,  27,  36,  29,  34,  28,  28,  22,  22,  24,  24,  37,  28,  38,  32,  25,  37,  34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,  32,  27,  36,  29,  34,  28,  28,  22,  21,  23,  23,  36,  27,  37,  31,  24,  36,  33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dominican Rep,Total renewable energy, 1 018,  826, 1 066, 1 464, 1 656, 1 978, 1 851, 1 768, 1 471, 1 539, 1 506, 1 618, 1 977, 2 225, 1 629, 1 369, 2 021, 2 910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,  934,  738,  973, 1 374, 1 582, 1 897, 1 764, 1 680, 1 383, 1 454, 1 417, 1 515, 1 785, 1 875, 1 271,  945, 1 519, 2 196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  14,  96,  243,  243,  290,  323,  390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  9,  18,  32,  75,  139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,  84,  87,  93,  90,  74,  81,  86,  87,  88,  85,  89,  89,  96,  98,  96,  101,  105,  184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,El Salvador,Total renewable energy, 1 962, 2 130, 2 132, 2 492, 2 459, 2 809, 3 245, 3 266, 3 732, 3 261, 3 892, 3 848, 3 791, 3 801, 3 806, 3 561, 3 598, 4 170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower, 1 175, 1 164, 1 139, 1 466, 1 388, 1 669, 1 962, 1 739, 2 038, 1 505, 2 084, 2 011, 1 847, 1 790, 1 789, 1 431, 1 343, 1 705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  22,  22,  28,  45,  185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,  0,  0,  0,  0,  61,  89,  143,  145,  174,  232,  283,  303,  409,  430,  438,  563,  635,  711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,  786,  966,  993, 1 026, 1 011, 1 051, 1 140, 1 382, 1 519, 1 524, 1 525, 1 534, 1 535, 1 560, 1 558, 1 540, 1 576, 1 569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grenada,Total renewable energy,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  2,  3,  4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  2,  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guadeloupe,Total renewable energy,  116,  102,  132,  136,  171,  212,  207,  235,  220,  191,  149,  204,  269,  302,  320,  314,  315,  360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,  10,  8,  17,  16,  26,  24,  19,  20,  21,  21,  16,  15,  14,  19,  27,  21,  34,  38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  9,  17,  30,  34,  32,  25,  35,  44,  49,  51,  41,  45,  51,  57,  55,  52,  53,  51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  1,  2,  3,  5,  17,  33,  92,  99,  103,  102,  94,  93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,  76,  58,  68,  64,  84,  68,  74,  75,  58,  64,  61,  55,  62,  46,  61,  56,  50,  66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,  21,  20,  17,  23,  29,  95,  78,  95,  89,  50,  15,  56,  51,  81,  75,  83,  84,  112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guatemala,Total renewable energy, 3 545, 2 994, 2 810, 2 927, 3 335, 3 680, 4 087, 3 988, 4 554, 4 199, 4 919, 5 157, 5 678, 6 142, 6 554, 5 979, 6 437, 8 041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower, 2 674, 2 264, 2 110, 2 177, 2 547, 2 920, 3 246, 2 986, 3 625, 2 893, 3 767, 4 094, 4 435, 4 631, 4 825, 3 852, 3 951, 5 765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  107,  215,  218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,  1,  2,  4,  15,  161,  203,  210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,  669,  536,  570,  555,  594,  614,  699,  768,  657, 1 026,  892,  824,  996, 1 296, 1 467, 1 608, 1 778, 1 595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,  202,  194,  130,  195,  194,  146,  143,  233,  272,  280,  259,  237,  246,  212,  247,  252,  289,  253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Haiti,Total renewable energy,  283,  283,  260,  255,  260,  265,  271,  154,  181,  207,  178,  122,  223,  143,  92,  86,  74,  75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,  283,  283,  260,  255,  260,  265,  271,  154,  181,  207,  177,  121,  221,  141,  90,  83,  71,  71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  2,  2,  2,  3,  3,  4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Honduras,Total renewable energy, 2 265, 1 907, 1 617, 1 764, 1 448, 1 798, 2 174, 2 333, 2 482, 2 958, 3 235, 3 103, 3 314, 3 249, 3 185, 3 754, 4 382, 5 439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower, 2 262, 1 904, 1 610, 1 741, 1 401, 1 718, 2 070, 2 214, 2 291, 2 797, 3 080, 2 815, 2 787, 2 739, 2 602, 2 340, 2 350, 3 088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  117,  338,  310,  398,  665,  574,  578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  3,  3,  3,  3,  4,  4,  5,  5,  5,  5,  6,  7,  7,  7,  7,  424,  885,  928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,  0,  1,  4,  20,  43,  76,  100,  114,  185,  156,  148,  165,  182,  192,  177,  325,  574,  752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jamaica,Total renewable energy,  113,  99,  139,  177,  201,  224,  251,  241,  237,  223,  227,  274,  289,  273,  295,  295,  345,  512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,  78,  60,  105,  146,  134,  151,  166,  160,  158,  140,  152,  152,  151,  124,  136,  129,  119,  154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  0,  0,  0,  0,  32,  50,  55,  52,  49,  59,  53,  91,  108,  115,  119,  125,  190,  289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,  2,  3,  3,  4,  7,  11,  13,  44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,  35,  38,  34,  31,  34,  23,  29,  29,  28,  23,  20,  28,  28,  30,  33,  30,  24,  25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Martinique,Total renewable energy,  0,  0,  15,  15,  16,  16,  34,  36,  38,  44,  44,  54,  100,  92,  108,  110,  112,  99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  0,  0,  0,  0,  2,  2,  2,  2,  1,  2,  1,  1,  2,  2,  2,  2,  1,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  3,  3,  5,  12,  19,  38,  80,  75,  84,  81,  82,  73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,  0,  0,  15,  15,  15,  15,  30,  32,  31,  31,  24,  15,  19,  16,  23,  27,  29,  25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Montserrat,Total renewable energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nicaragua,Total renewable energy,  415,  451,  645,  751,  811, 1 057,  943,  933, 1 198, 1 072, 1 358, 1 306, 1 731, 2 189, 2 436, 2 308, 2 445, 2 555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,  210,  197,  304,  298,  322,  434,  308,  307,  535,  297,  503,  444,  419,  456,  396,  295,  427,  469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  0,  0,  0,  0,  0,  0,  0,  0,  0,  112,  163,  211,  330,  562,  846,  865,  729,  635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  1,  1,  1,  1,  2,  3,  4,  5,  6,  9,  10,  13,  15,  27,  37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,  71,  48,  131,  182,  234,  352,  323,  381,  338,  363,  385,  373,  451,  482,  519,  455,  533,  664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,  134,  206,  210,  271,  255,  271,  311,  243,  322,  297,  302,  273,  523,  679,  662,  678,  729,  751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
